year,jja_mean_detrended_degC,jja_anomaly_detrended_degC,jja_mean_raw_degC,jja_anomaly_raw_degC
1982,16.657408,0.113642,15.921839,-0.369084
1983,16.261475,-0.282291,15.560356,-0.730567
1984,17.118549,0.574783,16.451981,0.161057
1985,16.425182,-0.118584,15.793073,-0.497851
1986,16.558146,0.014380,15.960486,-0.330437
1987,16.193609,-0.350157,15.630414,-0.660509
1988,16.558016,0.014250,16.029364,-0.261560
1989,16.718723,0.174957,16.224533,-0.066390
1990,17.006584,0.462818,16.546852,0.255929
1991,16.675159,0.131394,16.249884,-0.041040
1992,16.061367,-0.482399,15.670638,-0.620285
1993,15.841570,-0.702196,15.485297,-0.805626
1994,16.913336,0.369570,16.591524,0.300601
1995,16.421795,-0.121971,16.134434,-0.156490
1996,16.494705,-0.049061,16.241899,-0.049024
1997,16.273413,-0.270353,16.055056,-0.235868
1998,16.997499,0.453734,16.813606,0.522683
1999,16.647423,0.103657,16.497988,0.207064
2000,16.990004,0.446238,16.875120,0.584197
2001,16.457090,-0.086676,16.376657,0.085734
2002,16.443213,-0.100553,16.397242,0.106318
2003,16.450380,-0.093386,16.438862,0.147939
2004,16.767437,0.223671,16.790472,0.499549
2005,16.444761,-0.099005,16.502253,0.211329
2006,16.343248,-0.200518,16.435196,0.144273
2007,16.186104,-0.357662,16.312511,0.021588
2008,16.982752,0.438986,17.143703,0.852780
2009,16.268709,-0.275057,16.464117,0.173194
2010,16.611553,0.067787,16.841417,0.550494
2011,16.282499,-0.261267,16.546818,0.255895
2012,16.361845,-0.181921,16.660715,0.369792
2013,16.811729,0.267964,17.145063,0.854140
2014,16.353855,-0.189911,16.721642,0.430718
2015,16.114141,-0.429624,16.516388,0.225465
2016,16.372129,-0.171636,16.808920,0.517997
2017,16.600775,0.057009,17.072031,0.781108
2018,16.596972,0.053206,17.102680,0.811757
2019,16.328934,-0.214832,16.869101,0.578177
2020,16.519182,-0.024584,17.093891,0.802968
2021,16.909828,0.366062,17.518997,1.228074
2022,17.138464,0.594698,17.782093,1.491170
2023,17.081081,0.537316,17.759167,1.468243
2024,16.952244,0.408478,17.664877,1.373954
2025,17.649118,1.105353,18.396210,2.105286
